馬名,父,母,母父,母の母
ランフォーヴァウ,ロードカナロア,キネオダンサー,ディープインパクト,オールアイキャンセイイズウァウ
ジェニファー,アニマルキングダム,スイングサンデー,スペシャルウィーク,スイングパイ
プロトポロス,War Front,キャヴァルドレ,Sunday Break,Sweet Alabama
アンクルクロス,タリスマニック,ウインクルキラリ,ダンスインザダーク,ウインクルグラス
アブキールベイ,ファインニードル,アゴベイ,ハーツクライ,コージーベイ
オタルエバー,リオンディーズ,ルージュクール,Redoute's Choice,Sunday Valentine
デアヴェローチェ,マテラスカイ,ミニーアイル,ミッキーアイル,アイランドファッション
アメリカンビキニ,American Pharoah,パリスビキニ,Bernardini,Lacadena
ヨシノイースター,ルーラーシップ,アースブレイ,ゼンノロブロイ,ミスイースター
サウンドモリアーナ,ミッキーアイル,サウンドリアーナ,ケイムホーム,オテンバコマチ
ヤマニンアルリフラ,イスラボニータ,ヤマニンパピオネ,スウェプトオーヴァーボード,ヤマニンメルティ
フリッカージャブ,サトゥルナーリア,ナイキトルナード,サクラバクシンオー,ナイキフェイバー
イツモニコニコ,ビッグアーサー,オルトリンデ,ダンスインザダーク,オスティエンセ
